Store,Date,Total_Premium,Total_Charges,Credit_Card_Fee,State_Fee,Total_Deposit
Fiesta Auto Ins Center #CA102,01/28/2017,0.0000,0.0000,0,0,0.0000
Fiesta Auto Ins Center #CA103,01/27/2017,744.7400,217.0000,0,30,557.7400
Fiesta Auto Ins Center #CA103,01/28/2017,0.0000,0.0000,0,0,0.0000
Fiesta Auto Ins Center #CA104,01/27/2017,1977.3100,1338.0000,15,60,714.3100
Fiesta Auto Ins Center #CA104,01/28/2017,1695.7400,0.0000,0,45,1740.7400
Fiesta Auto Ins Center #CA104,01/29/2017,2414.6500,593.0000,5,30,1856.6500
Fiesta Auto Ins Center #CA106,01/27/2017,1617.4900,864.2500,5,90,848.2400
Fiesta Auto Ins Center #CA106,01/28/2017,781.4400,0.0000,0,15,796.4400
Fiesta Auto Ins Center #CA107,01/27/2017,346.6300,203.2000,5,0,148.4300
Fiesta Auto Ins Center #CA107,01/28/2017,310.5600,0.0000,0,0,310.5600
Fiesta Auto Ins Center #CA110,01/27/2017,335.9400,112.5000,5,15,243.4400
Fiesta Auto Ins Center #CA110,01/28/2017,313.3200,0.0000,0,15,328.3200
Fiesta Auto Ins Center #CA113,01/27/2017,1228.8900,170.0000,0,15,1073.8900
Fiesta Auto Ins Center #CA113,01/28/2017,670.2600,0.0000,0,15,685.2600
Fiesta Auto Ins Center #CA113,01/29/2017,115.0000,0.0000,0,0,115.0000
Fiesta Auto Ins Center #CA114,01/27/2017,1066.0800,0.0000,0,30,1096.0800
Fiesta Auto Ins Center #CA114,01/28/2017,274.3800,395.0000,0,15,-105.6200
Fiesta Auto Ins Center #CA115,01/27/2017,609.9800,828.0000,0,45,-173.0200
Fiesta Auto Ins Center #CA115,01/28/2017,762.5900,224.0000,5,60,603.5900
Fiesta Auto Ins Center #CA115,01/29/2017,1014.4600,226.0000,0,45,833.4600
Fiesta Auto Ins Center #CA118,01/27/2017,1719.7700,0.0000,0,30,1749.7700
Fiesta Auto Ins Center #CA118,01/28/2017,1255.9300,159.0000,0,45,1141.9300
Fiesta Auto Ins Center #CA118,01/29/2017,1620.9400,562.9400,5,30,1093.0000
Fiesta Auto Ins Center #CA120,01/27/2017,826.8800,121.8800,5,0,710.0000
Fiesta Auto Ins Center #CA120,01/28/2017,592.0500,0.0000,0,0,592.0500
Fiesta Auto Ins Center #CA121,01/27/2017,380.0000,0.0000,0,0,380.0000
Fiesta Auto Ins Center #CA121,01/28/2017,696.2700,0.0000,0,30,726.2700
Fiesta Auto Ins Center #CA122,01/27/2017,131.5300,380.0000,0,15,-233.4700
Fiesta Auto Ins Center #CA122,01/28/2017,182.5800,292.0000,5,15,-89.4200
Fiesta Auto Ins Center #CA126,01/27/2017,313.1300,102.0000,5,30,246.1300
Fiesta Auto Ins Center #CA126,01/28/2017,58.2300,0.0000,0,0,58.2300
Fiesta Auto Ins Center #CA126,01/29/2017,61.5800,179.0000,0,15,-102.4200
Fiesta Auto Ins Center #CA127,01/27/2017,764.3000,239.0000,0,15,540.3000
